(R9 , R11, "RR"):   16.614 (  5.9548),    0.039,  8192  0x46000000  [  16.677,   16.573,   16.623,   16.574,   16.623]
(R9 , R12, "--"):   32.841 ( 11.7710),    0.003,  8192  0x46000000  [  32.846,   32.838,   32.843,   32.841,   32.838]
(R9 , R12, "-R"):   16.749 (  6.0032),    0.004,  8192  0x46000000  [  16.747,   16.747,   16.746,   16.756,   16.748]
(R9 , R12, "R-"):   32.864 ( 11.7791),    0.077,  8192  0x46000000  [  32.947,   32.842,   32.742,   32.948,   32.840]
(R9 , R12, "RR"):   16.751 (  6.0038),    0.002,  8192  0x46000000  [  16.751,   16.748,   16.750,   16.751,   16.753]
(R9 , R13, "--"):   32.880 ( 11.7849),    0.049,  8192  0x46000000  [  32.940,   32.941,   32.841,   32.839,   32.839]
(R9 , R13, "-R"):   16.754 (  6.0049),    0.018,  8192  0x46000000  [  16.745,   16.742,   16.790,   16.748,   16.743]
(R9 , R13, "R-"):   16.757 (  6.0059),    0.017,  8192  0x46000000  [  16.749,   16.791,   16.745,   16.752,   16.746]
(R9 , R13, "RR"):   16.659 (  5.9710),    0.007,  8192  0x46000000  [  16.658,   16.654,   16.657,   16.672,   16.655]
(R9 , R14, "--"):   16.632 (  5.9614),    0.020,  8192  0x46000000  [  16.673,   16.625,   16.621,   16.620,   16.623]
(R9 , R14, "-R"):   16.614 (  5.9547),    0.021,  8192  0x46000000  [  16.623,   16.622,   16.571,   16.625,   16.627]
(R9 , R14, "R-"):   16.633 (  5.9616),    0.021,  8192  0x46000000  [  16.622,   16.674,   16.621,   16.625,   16.622]
(R9 , R14, "RR"):   16.624 (  5.9586),    0.004,  8192  0x46000000  [  16.621,   16.622,   16.631,   16.622,   16.626]
(R9 , R15, "--"):   16.635 (  5.9625),    0.024,  8192  0x46000000  [  16.624,   16.684,   16.623,   16.622,   16.624]
(R9 , R15, "-R"):   16.614 (  5.9548),    0.020,  8192  0x46000000  [  16.622,   16.628,   16.574,   16.621,   16.625]
(R9 , R15, "R-"):   16.643 (  5.9654),    0.052,  8192  0x46000000  [  16.620,   16.574,   16.725,   16.622,   16.676]
(R9 , R15, "RR"):   16.644 (  5.9655),    0.028,  8192  0x46000000  [  16.675,   16.681,   16.619,   16.619,   16.625]
(R10, R8 , "--"):   32.841 ( 11.7709),    0.065,  8192  0x46000000  [  32.839,   32.739,   32.839,   32.843,   32.944]
(R10, R8 , "-R"):   16.748 (  6.0029),    0.001,  8192  0x46000000  [  16.748,   16.749,   16.747,   16.749,   16.747]
(R10, R8 , "R-"):   32.882 ( 11.7857),    0.082,  8192  0x46000000  [  32.841,   32.842,   33.046,   32.842,   32.839]
(R10, R8 , "RR"):   16.761 (  6.0075),    0.050,  8192  0x46000000  [  16.746,   16.749,   16.851,   16.760,   16.698]
(R10, R9 , "--"):   16.655 (  5.9696),    0.024,  8192  0x46000000  [  16.675,   16.624,   16.674,   16.676,   16.627]
(R10, R9 , "-R"):   16.631 (  5.9610),    0.013,  8192  0x46000000  [  16.655,   16.632,   16.626,   16.620,   16.623]
(R10, R9 , "R-"):   16.644 (  5.9655),    0.024,  8192  0x46000000  [  16.629,   16.673,   16.672,   16.622,   16.623]
(R10, R9 , "RR"):   16.635 (  5.9622),    0.020,  8192  0x46000000  [  16.674,   16.624,   16.629,   16.620,   16.626]
(R10, R10, "--"):   16.657 (  5.9701),    0.026,  8192  0x46000000  [  16.674,   16.622,   16.676,   16.682,   16.629]
(R10, R10, "-R"):   16.654 (  5.9691),    0.026,  8192  0x46000000  [  16.677,   16.621,   16.675,   16.674,   16.622]
(R10, R10, "R-"):   16.624 (  5.9584),    0.003,  8192  0x46000000  [  16.623,   16.624,   16.619,   16.625,   16.628]
(R10, R10, "RR"):   16.633 (  5.9618),    0.021,  8192  0x46000000  [  16.676,   16.622,   16.624,   16.622,   16.623]
(R10, R11, "--"):   16.622 (  5.9577),    0.001,  8192  0x46000000  [  16.621,   16.621,   16.621,   16.623,   16.624]
(R10, R11, "-R"):   16.623 (  5.9579),    0.001,  8192  0x46000000  [  16.623,   16.621,   16.622,   16.622,   16.625]
(R10, R11, "R-"):   16.645 (  5.9660),    0.034,  8192  0x46000000  [  16.714,   16.629,   16.626,   16.629,   16.628]
(R10, R11, "RR"):   16.651 (  5.9680),    0.023,  8192  0x46000000  [  16.621,   16.674,   16.658,   16.625,   16.675]
(R10, R12, "--"):   32.860 ( 11.7778),    0.040,  8192  0x46000000  [  32.841,   32.838,   32.841,   32.840,   32.941]
(R10, R12, "-R"):   16.760 (  6.0071),    0.021,  8192  0x46000000  [  16.749,   16.801,   16.751,   16.749,   16.749]
(R10, R12, "R-"):   32.869 ( 11.7809),    0.038,  8192  0x46000000  [  32.941,   32.841,   32.874,   32.846,   32.841]
(R10, R12, "RR"):   16.750 (  6.0035),    0.032,  8192  0x46000000  [  16.750,   16.750,   16.802,   16.700,   16.747]
(R10, R13, "--"):   16.622 (  5.9578),    0.001,  8192  0x46000000  [  16.624,   16.620,   16.623,   16.623,   16.622]
(R10, R13, "-R"):   16.634 (  5.9619),    0.022,  8192  0x46000000  [  16.622,   16.677,   16.622,   16.622,   16.625]
(R10, R13, "R-"):   16.641 (  5.9647),    0.026,  8192  0x46000000  [  16.673,   16.673,   16.620,   16.621,   16.620]
(R10, R13, "RR"):   16.643 (  5.9652),    0.025,  8192  0x46000000  [  16.672,   16.623,   16.622,   16.623,   16.674]
(R10, R14, "--"):   32.901 ( 11.7924),    0.049,  8192  0x46000000  [  32.841,   32.840,   32.941,   32.942,   32.940]
(R10, R14, "-R"):   16.743 (  6.0010),    0.032,  8192  0x46000000  [  16.693,   16.746,   16.741,   16.793,   16.741]
(R10, R14, "R-"):   16.755 (  6.0054),    0.019,  8192  0x46000000  [  16.743,   16.744,   16.793,   16.749,   16.747]
(R10, R14, "RR"):   16.669 (  5.9746),    0.020,  8192  0x46000000  [  16.657,   16.657,   16.661,   16.663,   16.708]
(R10, R15, "--"):   16.665 (  5.9730),    0.022,  8192  0x46000000  [  16.672,   16.622,   16.680,   16.674,   16.676]
(R10, R15, "-R"):   16.624 (  5.9583),    0.036,  8192  0x46000000  [  16.621,   16.684,   16.572,   16.624,   16.617]
(R10, R15, "R-"):   16.625 (  5.9587),    0.031,  8192  0x46000000  [  16.624,   16.626,   16.675,   16.578,   16.621]
(R10, R15, "RR"):   16.662 (  5.9722),    0.020,  8192  0x46000000  [  16.670,   16.673,   16.671,   16.676,   16.622]
(R11, R8 , "--"):   32.882 ( 11.7856),    0.049,  8192  0x46000000  [  32.844,   32.843,   32.943,   32.838,   32.941]
(R11, R8 , "-R"):   16.751 (  6.0038),    0.032,  8192  0x46000000  [  16.701,   16.802,   16.749,   16.750,   16.751]
(R11, R8 , "R-"):   32.861 ( 11.7781),    0.045,  8192  0x46000000  [  32.841,   32.841,   32.950,   32.837,   32.836]
(R11, R8 , "RR"):   16.744 (  6.0014),    0.019,  8192  0x46000000  [  16.751,   16.758,   16.707,   16.749,   16.755]
(R11, R9 , "--"):   16.656 (  5.9698),    0.026,  8192  0x46000000  [  16.623,   16.683,   16.676,   16.672,   16.625]
(R11, R9 , "-R"):   16.632 (  5.9614),    0.015,  8192  0x46000000  [  16.622,   16.621,   16.625,   16.634,   16.660]
(R11, R9 , "R-"):   16.633 (  5.9615),    0.020,  8192  0x46000000  [  16.672,   16.625,   16.621,   16.622,   16.623]
(R11, R9 , "RR"):   16.624 (  5.9583),    0.031,  8192  0x46000000  [  16.575,   16.673,   16.621,   16.622,   16.627]
(R11, R10, "--"):   16.652 (  5.9686),    0.040,  8192  0x46000000  [  16.662,   16.626,   16.621,   16.627,   16.726]
(R11, R10, "-R"):   16.646 (  5.9662),    0.041,  8192  0x46000000  [  16.630,   16.626,   16.622,   16.622,   16.728]
(R11, R10, "R-"):   16.622 (  5.9577),    0.002,  8192  0x46000000  [  16.622,   16.626,   16.620,   16.621,   16.621]
(R11, R10, "RR"):   16.645 (  5.9659),    0.015,  8192  0x46000000  [  16.663,   16.627,   16.644,   16.630,   16.661]
(R11, R11, "--"):   16.624 (  5.9583),    0.032,  8192  0x46000000  [  16.574,   16.620,   16.674,   16.623,   16.627]
(R11, R11, "-R"):   16.645 (  5.9661),    0.040,  8192  0x46000000  [  16.630,   16.628,   16.725,   16.624,   16.620]
(R11, R11, "R-"):   16.626 (  5.9590),    0.033,  8192  0x46000000  [  16.632,   16.624,   16.677,   16.574,   16.621]
(R11, R11, "RR"):   16.634 (  5.9619),    0.020,  8192  0x46000000  [  16.620,   16.674,   16.629,   16.622,   16.624]
(R11, R12, "--"):   32.859 ( 11.7776),    0.040,  8192  0x46000000  [  32.841,   32.838,   32.840,   32.940,   32.838]
(R11, R12, "-R"):   16.764 (  6.0087),    0.021,  8192  0x46000000  [  16.806,   16.759,   16.758,   16.749,   16.750]
(R11, R12, "R-"):   32.889 ( 11.7882),    0.047,  8192  0x46000000  [  32.838,   32.878,   32.947,   32.941,   32.842]
(R11, R12, "RR"):   16.790 (  6.0178),    0.020,  8192  0x46000000  [  16.750,   16.802,   16.797,   16.798,   16.802]
(R11, R13, "--"):   16.633 (  5.9617),    0.020,  8192  0x46000000  [  16.626,   16.622,   16.621,   16.674,   16.623]
(R11, R13, "-R"):   16.634 (  5.9619),    0.036,  8192  0x46000000  [  16.679,   16.663,   16.576,   16.628,   16.623]
(R11, R13, "R-"):   16.653 (  5.9690),    0.026,  8192  0x46000000  [  16.621,   16.671,   16.623,   16.676,   16.676]
(R11, R13, "RR"):   16.624 (  5.9585),    0.002,  8192  0x46000000  [  16.621,   16.627,   16.627,   16.624,   16.622]
(R11, R14, "--"):   16.623 (  5.9581),    0.001,  8192  0x46000000  [  16.622,   16.623,   16.623,   16.624,   16.623]
(R11, R14, "-R"):   16.613 (  5.9545),    0.021,  8192  0x46000000  [  16.625,   16.624,   16.571,   16.621,   16.624]
(R11, R14, "R-"):   16.625 (  5.9586),    0.002,  8192  0x46000000  [  16.624,   16.622,   16.628,   16.623,   16.626]
(R11, R14, "RR"):   16.623 (  5.9580),    0.031,  8192  0x46000000  [  16.622,   16.620,   16.577,   16.674,   16.621]
(R11, R15, "--"):   32.923 ( 11.8004),    0.039,  8192  0x46000000  [  32.905,   32.907,   33.001,   32.901,   32.901]
(R11, R15, "-R"):   16.796 (  6.0199),    0.001,  8192  0x46000000  [  16.798,   16.796,   16.794,   16.796,   16.794]
(R11, R15, "R-"):   16.836 (  6.0345),    0.031,  8192  0x46000000  [  16.845,   16.884,   16.806,   16.846,   16.800]
(R11, R15, "RR"):   16.682 (  5.9793),    0.025,  8192  0x46000000  [  16.663,   16.661,   16.715,   16.661,   16.711]
(R12, R8 , "--"):   49.200 ( 17.6344),    0.074,  8192  0x46000000  [  49.140,   49.138,   49.141,   49.291,   49.290]
(R12, R8 , "-R"):   33.026 ( 11.8373),    0.042,  8192  0x46000000  [  33.047,   32.943,   33.046,   33.047,   33.048]
(R12, R8 , "R-"):   32.924 ( 11.8006),    0.040,  8192  0x46000000  [  32.945,   32.941,   32.946,   32.943,   32.843]
(R12, R8 , "RR"):   16.959 (  6.0784),    0.026,  8192  0x46000000  [  16.988,   16.938,   16.939,   16.992,   16.936]
(R12, R9 , "--"):   32.862 ( 11.7786),    0.040,  8192  0x46000000  [  32.943,   32.843,   32.841,   32.841,   32.843]
(R12, R9 , "-R"):   32.868 ( 11.7807),    0.038,  8192  0x46000000  [  32.940,   32.840,   32.842,   32.875,   32.844]
(R12, R9 , "R-"):   16.780 (  6.0144),    0.042,  8192  0x46000000  [  16.750,   16.750,   16.855,   16.799,   16.747]
(R12, R9 , "RR"):   16.775 (  6.0127),    0.052,  8192  0x46000000  [  16.800,   16.746,   16.698,   16.781,   16.852]
(R12, R10, "--"):   32.861 ( 11.7781),    0.076,  8192  0x46000000  [  32.738,   32.840,   32.841,   32.943,   32.942]
(R12, R10, "-R"):   32.844 ( 11.7720),    0.004,  8192  0x46000000  [  32.848,   32.848,   32.839,   32.846,   32.839]
(R12, R10, "R-"):   16.779 (  6.0139),    0.025,  8192  0x46000000  [  16.799,   16.748,   16.798,   16.801,   16.748]
(R12, R10, "RR"):   16.781 (  6.0146),    0.026,  8192  0x46000000  [  16.749,   16.803,   16.749,   16.800,   16.802]
(R12, R11, "--"):   32.884 ( 11.7864),    0.047,  8192  0x46000000  [  32.940,   32.846,   32.849,   32.842,   32.943]
(R12, R11, "-R"):   32.841 ( 11.7710),    0.001,  8192  0x46000000  [  32.842,   32.842,   32.840,   32.840,   32.841]
(R12, R11, "R-"):   16.748 (  6.0029),    0.001,  8192  0x46000000  [  16.748,   16.747,   16.749,   16.749,   16.748]
(R12, R11, "RR"):   16.776 (  6.0128),    0.024,  8192  0x46000000  [  16.774,   16.750,   16.802,   16.748,   16.804]
(R12, R12, "--"):   32.840 ( 11.7705),    0.001,  8192  0x46000000  [  32.841,   32.838,   32.840,   32.840,   32.839]
(R12, R12, "-R"):   32.869 ( 11.7811),    0.040,  8192  0x46000000  [  32.939,   32.839,   32.840,   32.839,   32.890]
(R12, R12, "R-"):   32.840 ( 11.7708),    0.001,  8192  0x46000000  [  32.842,   32.840,   32.841,   32.838,   32.841]
(R12, R12, "RR"):   16.761 (  6.0075),    0.052,  8192  0x46000000  [  16.754,   16.748,   16.698,   16.857,   16.748]
