[S07, Cycle2, Clip2]:  483.170,    0.132,  8192  0x46000000
[S07, Cycle3, Clip0]:  449.119,    0.161,  8192  0x46000000
[S07, Cycle3, Clip1]:  448.939,    0.128,  8192  0x46000000
[S07, Cycle3, Clip2]:  449.061,    0.286,  8192  0x46000000
[S07, Cycle3, Clip3]:  449.094,    0.185,  8192  0x46000000
[S07, Cycle4, Clip0]:  443.782,    0.196,  8192  0x46000000
[S07, Cycle4, Clip1]:  443.779,    0.263,  8192  0x46000000
[S07, Cycle4, Clip2]:  443.631,    0.087,  8192  0x46000000
[S07, Cycle4, Clip3]:  443.805,    0.181,  8192  0x46000000
[S07, Cycle4, Clip4]:  443.656,    0.226,  8192  0x46000000
